,Name,Unnamed: 0,has_cube,No,Bulge,Outskirts,RA_NED,DEC_NED,Morphology,deVac Morphology,V_r [km/s],D [Mpc],E(B-V),PA [degree],logd25,logr25,inc,PA,Reff
12,ESO364-18,12,True,48.0,liny,lineless,89.302208,-37.477306,-999,-999,13259.0,-999.0,0.03864451,-999.0,-999.0,-999.0,42.5,52.4,7.5
13,ESO440-25,13,True,,,,178.284334,-32.565997,,,8186.0,,0.10886586,,,,25.9,96.2,6.3
14,ESO541-13,14,True,7.0,liny,lineless,15.673833,-21.882083,cD / E+3 pec,cD3 pec,17073.0,251.88,0.018548671,-999.0,-999.0,-999.0,57.6,112.8,10.7
15,IC1365,15,True,,,,318.482958,2.565389,,,14773.0,,0.06779734,,,,43.0,143.6,13.8
16,IC1391,16,True,20.0,liny,lineless,323.751657,-0.511436,-,-5,9041.0,135.59,0.038201805,-999.0,-999.0,-999.0,33.1,13.2,7.0
17,IC4296,17,True,6.0,liny,lineless,204.162625,-33.965833,E / RLG / BrClG LINER,E,3781.0,53.05,0.063664,-999.0,-999.0,-999.0,26.4,153.8,11.0
18,IC4374,18,True,50.0,liny,liny,211.874009,-27.017859,-999,-999,6518.0,-999.0,0.060363486,-999.0,-999.0,-999.0,38.2,17.9,10.3
19,M84,19,True,28.0,lineless,lineless,186.265597,12.886983,-999,-999,999.0,-999.0,0.040692724,-999.0,-999.0,-999.0,31.0,36.4,13.5
20,MCG-01-38-015,20,True,3.0,liny,lineless,225.161852,-3.858342,-,-,6860.0,100.35,0.15388706,-999.0,-999.0,-999.0,38.2,48.1,5.1
21,MCG+03-22-020,21,True,16.0,liny,lineless,129.599366,17.631331,-,S0?,8214.0,119.73,0.030868461,-999.0,-999.0,-999.0,18.8,166.6,5.8
22,MCG-05-47-003,22,True,32.0,lineless,lineless,297.996103,-30.816223,-999,-999,5861.0,-999.0,0.13989292,-999.0,-999.0,-999.0,46.4,16.1,6.4
23,MCG-06-08-024,23,True,30.0,SF,SF,52.784417,-36.290139,-999,-999,1817.0,-999.0,0.012037605,-999.0,-999.0,-999.0,49.4,70.3,7.4
24,NGC0410,24,True,9.0,liny,lineless,17.745435,33.151892,E+: / LINER HII,cD:,5276.0,78.99,0.058591526,-999.0,-999.0,-999.0,34.0,142.4,14.1
25,NGC1587,25,True,38.0,liny,liny,67.666411,0.661583,-999,-999,3672.0,-999.0,0.07172086,-999.0,-999.0,-999.0,37.3,148.7,6.8
26,NGC3091,26,True,,,,150.05883,-19.63647,,,3809.0,,0.04336401,,,,41.5,57.6,8.5
27,NGC3546,27,True,49.0,lineless,lineless,167.444959,-13.380862,-999,-999,4449.0,-999.0,0.05305144,-999.0,-999.0,-999.0,54.5,29.1,5.5
28,NGC4261,28,True,,,,184.846734,5.824917,,,2222.0,,0.017715963,,,,38.3,66.9,5.4
29,NGC4325,29,True,37.0,wAGN,liny,185.777838,10.621191,-999,-999,7641.0,-999.0,0.034289327,-999.0,-999.0,-999.0,48.5,92.0,8.4
30,NGC4936,30,True,12.0,liny,liny,196.070386,-30.526258,E0 poss. LINER,E0,3093.0,43.76,0.08285758,-999.0,-999.0,-999.0,34.6,68.3,8.7
31,NGC5328,31,True,40.0,liny,lineless,208.222138,-28.489402,-999,-999,4701.0,-999.0,0.06247575,-999.0,-999.0,-999.0,45.0,173.6,10.4
32,NGC5419,32,True,22.0,lineless,lineless,210.911384,-33.978259,-999,-999,4156.0,-999.0,0.07261289,-999.0,-999.0,-999.0,41.0,69.9,17.4
33,NGC6768,33,True,,,,289.135937,-40.209134,,,5568.0,,0.10291221,,,,53.6,125.9,10.1
34,NGC677,34,True,41.0,liny,liny,27.308576,13.055348,-999,-999,5143.0,-999.0,0.08867294,-999.0,-999.0,-999.0,21.7,86.6,4.0
35,NGC6805,35,True,19.0,liny,lineless,294.190458,-37.554361,-,E1,5960.0,88.07,0.18242857,-999.0,-999.0,-999.0,34.2,90.9,6.8
36,NGC7173,36,True,33.0,liny,liny,330.513292,-31.973694,-999,-999,2497.0,-999.0,0.026596662,-999.0,-999.0,-999.0,18.4,29.6,6.7
37,PGC003342,37,True,42.0,lineless,lineless,14.067146,-1.25537,-999,-999,13344.0,-999.0,0.038654063,-999.0,-999.0,-999.0,35.1,128.3,12.6
38,PGC004500,38,True,43.0,lineless,lineless,18.739958,0.430808,-999,-999,13437.0,-999.0,0.02766789,-999.0,-999.0,-999.0,42.2,54.2,9.4
39,PGC007748,39,True,45.0,lineless,lineless,30.572007,-1.127838,-999,-999,12755.0,-999.0,0.027251327,-999.0,-999.0,-999.0,50.6,160.7,8.3
40,PGC015524,40,True,13.0,liny,liny,68.407682,-13.261935,cD / E+?,cD?	,9835.0,143.55,0.13542414,-999.0,-999.0,-999.0,44.3,86.8,17.7
41,PGC018236,41,True,46.0,lineless,lineless,90.1712,-40.044544,-999,-999,13973.0,-999.0,0.05143091,-999.0,-999.0,-999.0,49.5,157.2,10.7
42,PGC047154,42,True,47.0,lineless,lineless,201.873407,-31.390255,-999,-999,14293.0,-999.0,0.057970405,-999.0,-999.0,-999.0,32.8,41.6,5.3
43,PGC047590,43,True,44.0,liny (?),lineless,203.013208,-31.780167,-999,-999,13098.0,-999.0,0.055585258,-999.0,-999.0,-999.0,32.7,2.3,8.8
44,PGC055442,44,True,,,,233.45381,21.136185,,,7026.0,,0.057599645,,,,41.4,104.4,6.1
45,UGC09799,45,True,21.0,sAGN,wAGN-liny,229.185372,7.021626,-999,-999,10352.0,-999.0,0.037316475,-999.0,-999.0,-999.0,44.1,127.4,12.3
46,UGC595,46,True,1.0,liny,lineless,14.395483,-1.391089,E / Radio galaxy LEG,S?,13500.0,200.19,0.03542727,125.0,0.94,0.03,11.3,114.7,6.3
