Name,lon,lat,V_r [Km/s]
2MASXJ01372378-0018422,147.19066451951682,-61.0001969432427,16798.0
2MASXJ02500784-0016014,174.55563074106533,-50.84073398280825,8722.0
2MASXJ03381926-3507447,236.17486887534466,-53.675314041942976,1420.0
2MASXJ03384056+0958119,176.2643497440974,-35.05783741140215,10368.0
2MASXJ06134795-6755146,277.9717551251872,-28.505087265443827,10788.0
2MASXJ10193682+1933131,216.97129202541936,54.47700010989646,19388.0
2MASXJ14103977-0241003,338.67921317042453,54.594629780752825,8190.0
3C076.1,163.06384272421468,-35.96315541027027,9740.0
3C264,235.72717099405907,73.03842573551358,6474.0
3C277.3,72.1606832298136,89.21012949520481,25728.0
ESO107-4,327.12049429195713,-37.47033777172824,3116.0
ESO197-18,278.18678789420255,-62.645130058123776,6439.0
ESO364-18,243.55503240416425,-26.295789709112963,13423.0
ESO440-25,288.9375918697835,28.71650860789992,8193.0
ESO541-13,149.54822469164708,-84.16274287185655,17073.0
IC1365,53.52767740714473,-29.83142852775536,14794.0
IC1391,53.957074533751616,-35.920797650270764,9041.0
IC4296,313.53831536171174,27.973011452888652,3737.0
IC4374,323.1444194881692,32.85116663106683,6535.0
M84,278.2044826743125,74.47835916321296,1017.0
MCG-01-38-015,353.11904077452346,46.04338554392099,6812.0
MCG+03-22-020,207.9600739734967,31.315133737757357,8214.0
MCG-05-47-003,9.828458579022339,-25.66925674734234,5863.0
MCG-06-08-024,238.26614174356388,-55.08631578890999,1832.0
NGC0410,127.63336764765938,-29.54122483809799,5204.0
NGC1587,194.4545855011715,-30.5060741475526,3690.0
NGC3091,256.75588610273036,27.502921164026905,3964.0
NGC3546,268.3945104332031,42.571999861680695,4455.0
NGC4261,281.80487316846165,67.37256211629717,2177.0
NGC4325,279.5842888648345,72.19674264958773,7641.0
NGC4936,306.2028908211805,32.26390281695193,3117.0
NGC5328,318.9519435552588,32.463551674444325,4740.0
NGC5419,319.6247109984196,26.542033096021854,4126.0
NGC6768,357.68205853706917,-21.634243986277667,5569.0
NGC677,143.99351473611398,-47.43897013148007,5075.0
NGC6805,1.6956678570097812,-24.61727520867038,5960.0
NGC7173,14.956741614176906,-53.077164541732216,2497.0
PGC003342,125.69700837187268,-64.10118987720072,13349.0
PGC004500,135.48090447744303,-61.86643323039156,13436.0
PGC007748,159.05631935446726,-58.937966504043985,12755.0
PGC015524,209.58692125384505,-36.48805312711248,9835.0
PGC018236,246.51717895791532,-26.296852975712117,13973.0
PGC047154,311.89459588380606,30.853567849444143,14281.0
PGC047590,312.9275905412839,30.30207876950393,13107.0
PGC055442,32.739870962710434,52.6323360461455,7026.0
UGC09799,9.417645988631392,50.12023778322308,10357.0
UGC595,126.46439725678644,-64.22059001653575,13500.0
