Gal,Reff
UGC9839                     ,13.2
2MASXJ15042974+0219591      ,10.9
2MASXJ03384056+0958119      ,7.5
IC3476                      ,18.0
IC5201                      ,65.1
NGC4451                     ,12.1
NGC5917                     ,13.0
IC0344                      ,13.5
NGC4526                     ,13.6
NGC3451                     ,23.6
NGC4691                     ,13.9
ESO184-G082                 ,11.5
NGC4900                     ,32.3
NGC3318                     ,18.7
UGC10738                    ,18.9
NGC7780                     ,13.9
NGC3512                     ,15.7
NGC5468                     ,0.0
CGCG044-035                 ,10.1
UGC11985                    ,0.0
SN2002jg_2_b                ,18.3
NGC7253                     ,17.7
NGC7771                     ,16.8
MCG-02-02-086               ,12.1
NGC3997                     ,14.2
UGC11001                    ,18.6
UGC12158                    ,11.1
UGC11816                    ,12.8
ESO552-G40                  ,12.9
MCG+03-22-020               ,5.8
2MASXJ18324117-3411274      ,8.7
2MASXJ14564322+0919361      ,3.3
NGC5304                     ,8.5
SDSSJ145931.51+164011.0     ,3.7
MCG+03-31-093               ,4.3
WINGSJ201014.69-563830.1    ,12.5
MCG-01-39-003               ,15.2
ESO488-G30                  ,9.9
MCG+00-06-003               ,7.7
UGC00272                    ,20.6
ESO538-13                   ,7.0
APMBGC482+086+000           ,10.9
2MASXJ22594265-0000478      ,2.5
MCG-03-07-040               ,10.5
IC672                       ,6.1
NGC2930                     ,8.3
UGC3634                     ,7.9
NGC3363                     ,10.5
IC4582                      ,13.0
NGC7329                     ,0.0
NGC5185                     ,19.5
UGC11214                    ,16.5
UGC11723                    ,17.2
UGC9530                     ,10.5
MCG-01-33-034               ,8.1
NGC5338                     ,0.0
NGC5338                     ,10.6
NGC809                      ,5.6
NGC191A                     ,5.0
SN2006eq                    ,3.5
NGC0232                     ,7.3
ESO552-52                   ,5.8
2MASXJ01135716+0022171      ,2.6
2MASXJ09151727-2536001      ,4.5
NGC4651                     ,26.4
UGC1333                     ,10.2
UGC02384                    ,9.4
ESO544-G031                 ,6.9
NGC4321                     ,0.0
ESO584-7                    ,13.0
2MASXJ09591870-1928233      ,4.2
ESO18-18                    ,8.8
UGC09798                    ,8.5
UGC06332                    ,7.3
MCG-02-34-061               ,19.9
E508-G75                    ,7.2
2MASXJ22144070+0504435      ,7.6
UGC12859                    ,16.1
ESO601-5                    ,13.8
ESO298-28                   ,14.6
NGC7461                     ,4.4
SN2007hx                    ,16.7
NGC7721                     ,28.7
GALEXMSCJ010545.98-004530.2 ,6.7
2MASXJ01372378-0018422      ,1.9
NGC1590                     ,8.8
UGC5378                     ,7.6
NGC1109                     ,4.9
NGC692                      ,11.7
2MASXJ16152860+1913344      ,7.1
IC0577                      ,7.3
IC3284                      ,7.5
2MASXJ09383413-6358225      ,8.2
ESO308-25                   ,16.3
ESO107-4                    ,5.8
[WLF2008]J140732.38-263305.6,3.8
PGC0091487                  ,11.5
2MASXJ00351050+2315184      ,8.8
ESO284-G032                 ,3.7
NGC6805                     ,6.8
ESO428-14                   ,5.4
NGC6908                     ,23.0
ESO480-21                   ,9.9
NGC1527                     ,16.3
NGC539                      ,24.8
2MASXJ22104396-2047256      ,2.6
UGC12682                    ,0.0
MCG-02-01-014               ,12.4
NGC2765                     ,11.6
ESO125-G06                  ,7.0
MCG-02-07-033               ,13.2
ESO256-11                   ,11.3
NGC1591                     ,15.5
ESO570-G020                 ,8.7
NGC3278                     ,17.2
MCG-03-10-052               ,9.0
IC2554                      ,27.2
NGC3905                     ,19.6
NGC1080                     ,11.7
NGC1015                     ,9.7
IC2160                      ,11.6
IC1320                      ,9.2
NGC1620                     ,29.3
AnonJ032953-2805            ,4.2
ESO478-6                    ,11.9
NGC3389                     ,37.7
NGC4487                     ,51.6
UGC2019                     ,8.1
ESO162-G017                 ,17.0
IC1391                      ,7.0
NGC1566                     ,18.3
NGC3244                     ,19.0
NGC3120                     ,20.6
NGC6708                     ,10.8
NGC4806                     ,13.8
SDSSJ211222.68-074913.9     ,8.0
MCG+01-59-081               ,2.8
NGC7674                     ,10.1
2MASXJ23024668+0848186      ,1.8
NGC4984                     ,11.5
NGC4809                     ,10.1
CGCG048-051                 ,7.4
ESO234-19                   ,18.8
NGC4424                     ,21.4
NGC4772                     ,15.0
NGC1084                     ,18.9
MCG+04-55-47                ,7.3
SN2012fk_b                  ,2.9
LEDA9572                    ,3.9
SDSSJ023049.50+222839.2     ,3.8
ESO235-G37                  ,13.9
SN2012G_b                   ,8.3
IC0803                      ,2.4
NGC7580                     ,7.1
LEDA215034                  ,8.0
IC1657                      ,19.1
MCG-01-57-021               ,28.9
NGC3447                     ,13.5
NGC1309                     ,16.5
NGC5339                     ,29.2
ESO306-G016                 ,8.1
2MASXJ13265081-1001263      ,11.7
ESO576-G017                 ,11.4
2MASXJ13453653-0719350      ,4.0
ESO287-G040                 ,12.8
ESO114-G007                 ,10.3
ESO325-43                   ,10.3
NGC7119                     ,13.4
ESO288-1                    ,6.2
NGC1578                     ,8.3
NGC6806                     ,17.2
NGC4303                     ,0.0
NGC3464                     ,22.7
ESO163-G11                  ,19.8
2MASXJ02053847-5947586      ,8.0
2MASXJ04250492-0733581      ,7.0
2MASXJ05470411-2546160      ,4.5
SSTSL2J073710.03-521905.6   ,2.7
IC2151                      ,15.5
NGC3318                     ,16.7
SDSSJ133312.86+080323.5     ,0.0
MCG-02-13-038               ,15.7
2MASXJ17262669-6032500      ,13.3
LEDA749762                  ,10.9
NGC7424                     ,6.0
ESO124-12                   ,9.2
2MASXJ16140062+2655084      ,8.6
SN2017dch                   ,1.8
SN2017dek                   ,2.8
SN2017dgd                   ,3.9
SN2017dkb                   ,10.0
SN2017eca                   ,3.4
6dFGSgJ234928.6-302516      ,9.3
6dFGSgJ030511.0-453304      ,3.3
2MASXJ14320620+2149592      ,4.2
LEDA359036                  ,7.2
IC211                       ,16.4
IC4452                      ,5.1
NGC7592                     ,10.5
2MASXJ17401447-5825586      ,8.3
SN2017fgk                   ,2.3
NGC1137                     ,8.2
NGC716                      ,8.2
dFGRSTGS150Z237             ,1.6
NGC1285                     ,16.3
UGC3165                     ,13.8
ESO141-32                   ,17.1
2dFGRSTGS431Z090            ,2.9
ESO301-26                   ,8.8
2MASXJ20032778+0659228      ,14.1
LEDA194345                  ,6.8
ESO246-21                   ,15.7
LEDA1837675                 ,6.5
NGC988                      ,0.0
6dFGSgJ141944.5-165017      ,6.8
ESO316-7                    ,10.4
LEDA959170                  ,7.3
NGC3836                     ,13.2
UGC02690                    ,15.9
UGC06697                    ,27.2
UGC09799                    ,12.3
MCG-01-04-025               ,15.4
ESO469-15                   ,10.7
ESO343-13                   ,13.0
2MASXJ12570425-3022305      ,5.1
NGC7469                     ,6.4
NGC839                      ,11.5
NGC848                      ,17.6
PGC1285465                  ,3.7
SN2014dm_b                  ,6.0
NGC1516B                    ,6.9
LEDA866194                  ,3.9
2MASXJ05163391+0626586      ,5.7
NGC1672                     ,0.0
AGC333505                   ,4.8
NGC3449                     ,0.0
2MASXJ22522347-2036373      ,6.6
IC5063                      ,13.3
NGC5419                     ,17.4
2C317                       ,5.2
3C076.1                     ,3.8
3C196.1                     ,5.0
3C198                       ,2.5
3C227                       ,1.4
3C264                       ,9.4
3C273                       ,1.1
3C277.3                     ,3.3
3C296                       ,11.2
WINGSJ233630.49+210847.3    ,12.7
WINGSJ032731.09-525907.5    ,1.5
LEDA359556                  ,2.4
2MASXJ06001367-3934487      ,4.2
NGC6770                     ,7.9
ESO285-4                    ,10.8
NGC6935                     ,18.0
NGC6947                     ,18.6
ESO286-10                   ,11.6
ESO402-21                   ,20.0
IC5110                      ,11.7
NGC7135                     ,17.5
NGC7225                     ,14.9
Arp288                      ,13.2
NGC5128                     ,38.0
ESO148-2                    ,6.3
ESO338-4                    ,6.1
ESO358-33                   ,20.5
NGC1382                     ,11.8
2MASXJ03381926-3507447      ,9.2
ESO358-59                   ,7.5
ESO358-61                   ,20.4
ESO358-63                   ,26.1
Mrk1044                     ,3.0
2MASXJ03540948+0249307      ,2.0
Mrk618                      ,7.2
IRAS10295-1831              ,2.3
ESO438-9                    ,6.1
ESO578-9                    ,5.1
ESO344-16                   ,7.7
ESO197-18                   ,7.3
IC1479                      ,5.9
WINGSJ211347.41+022834.9    ,10.1
LEDA1013157                 ,4.0
IC5337                      ,7.8
PGC899901                   ,7.8
M84                         ,13.5
